Index,p value,number of data points,Longest Streak,Expected Longest Streak
DJI,0.56975945,8730,11,14.63201701
GSPC,0.562136586,17542,14,15.53184575
RUT,0.597361576,8073,21,15.69497471
DBA,0.42199688,3205,12,13.15218078
VDE,0.498411438,3777,9,10.92844661
VOX,0.442872256,3781,15,12.69020228
VDC,0.509878419,3948,11,11.23523439
VFH,0.485055724,3948,12,11.38693953
VHT,0.500253293,3948,10,10.95417906
VIS,0.515339857,3781,11,11.33370251
VAW,0.504305978,3948,14,11.07139483
VNQ,0.505289606,3781,12,11.03677305
VPU,0.508865248,3948,11,11.20521166
